acc,area_ratio,area_opt_ratio,total_area,crossover_rate,mutation_rate,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35,layer_36,layer_37,layer_38,layer_39,layer_40,layer_41,layer_42,layer_43,layer_44,layer_45,layer_46,layer_47,layer_48,layer_49,layer_50,layer_51,layer_52,layer_53,layer_54,layer_55,layer_56,layer_57,layer_58,layer_59,layer_60,layer_61,layer_62,layer_63,layer_64,layer_65,layer_66,layer_67,layer_68,layer_69,layer_70,layer_71,layer_72,layer_73,layer_74,layer_75,layer_76,layer_77,layer_78,layer_79,layer_80,layer_81,layer_82,layer_83,layer_84,layer_85,layer_86,layer_87,layer_88,layer_89,layer_90,layer_91,layer_92,layer_93,layer_94,layer_95
84.38,0.33847757598220896,1.9544054642265638,2111447.826432,0.7914112043718015,0.06838190523751404,17,11,15,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,17,11,15,14,0,10,16,12,17,11,15,14,0,10,16,12
82.46,0.2859903941191006,2.4966209374974686,1784028.9546240007,0.7823241928075763,0.07106333268940375,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,12,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12,20,15,15,18,5,10,16,7,20,15,11,14,5,10,16,7,20,15,11,14,5,10,16,7,20,15,11,14,5,10,16,7,20,15,11,14,10,16,16,12,20,15,11,14,10,10,16,12
87.31,0.4244532987398072,1.3559717947038665,2647770.660864,0.7304596716797189,0.10148877513469112,17,11,15,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10
84.78,0.32687561774153684,2.05926764103497,2039073.964032,0.7456065567495196,0.08305231208972913,17,11,15,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,11,14,5,10,16,7,20,15,11,14,5,10,16,7,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12
75.32,0.25615270570793164,2.9039212849081197,1597899.2762879995,0.8529484813461266,0.0421216254349465,17,11,15,14,0,10,16,12,17,11,15,14,0,10,16,12,17,11,15,14,0,10,16,12,17,11,15,14,0,10,16,12,17,11,13,14,0,10,16,12,17,11,12,14,0,10,16,12,20,15,11,14,10,16,14,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,10,16,12
76.93,0.26285442920681984,2.804387101322829,1639705.1166720001,0.8204442716076662,0.10745429754636615,17,11,15,14,0,10,16,12,17,11,15,14,0,10,16,12,17,11,15,14,0,10,16,12,17,11,15,14,0,10,16,12,17,11,13,14,0,10,16,12,17,11,12,14,0,10,16,12,20,15,11,14,10,16,14,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,13,20,15,11,17,10,16,15,12,20,15,11,14,5,10,16,7,20,15,11,14,0,10,16,12
85.84,0.36476865579441564,1.7414636211604817,2275453.5014400007,0.7757512251780878,0.08241053553579886,17,11,15,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,16,16,12,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12,20,19,15,14,0,9,16,12
80.69,0.2652960526315788,2.769373837569748,1654936.1418239996,0.7917912947240814,0.07868202404434757,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,12,20,15,11,14,5,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,10,16,12
74.64,0.2534593526068692,2.945405800633684,1581097.94304,0.8160360760016576,0.10628507809930159,17,11,15,14,0,10,16,12,17,11,15,14,0,10,16,12,17,11,15,14,0,10,16,12,17,11,15,14,0,10,16,12,17,11,13,14,0,10,16,12,17,11,12,14,0,10,16,12,20,15,11,14,10,16,14,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,13,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12,20,19,15,14,0,9,16,12
82.56,0.33123378428465533,2.0190157147153234,2066260.5250560008,0.7524275772946487,0.09874957952890957,22,15,11,14,5,10,18,7,17,15,11,14,5,10,16,7,20,15,8,14,7,10,6,12,22,15,11,14,0,10,6,11,22,15,11,16,0,10,6,11,22,15,11,14,0,10,6,11,22,15,11,14,0,10,6,11,22,15,11,14,0,10,6,11,22,15,15,14,0,10,16,15,20,11,15,14,0,10,16,12,17,11,15,14,0,10,16,12,17,8,15,14,0,10,16,12
85.12,0.4023350630096367,1.485490557346845,2509795.4918400003,0.735267216037518,0.12084805323169817,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10
80.3,0.2663284531751914,2.754762167083207,1661376.3317759996,0.7516301037128855,0.04230400976918859,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,12,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,0,14,13,12,20,15,11,14,10,16,16,12
87.31,0.4244532987398072,1.3559717947038665,2647770.660864,0.7304596716797189,0.10148877513469112,17,11,15,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10
